root,cell,n,captured_count,captured_percent,captured_wilson_lo,captured_wilson_hi,crash_count,crash_percent,crash_wilson_lo,crash_wilson_hi,timeout_count,timeout_percent,timeout_wilson_lo,timeout_wilson_hi
D4_coadapt_s521,T0_d070_riskcap,2049,1700,82.96730112249878,81.27827131283783,84.53294826259473,319,15.568570034163006,14.06331442229593,17.202687930823725,30,1.4641288433382138,1.0274893038275459,2.0824176276784767
D4_coadapt_s521,T0_d070_stopcap,2049,1663,81.16154221571499,79.4107399386371,82.7957200153432,240,11.71303074670571,10.39174899704387,13.177604434596626,146,7.125427037579307,6.089951018988335,8.321364455449112
D4_coadapt_s521,T1_d070_riskcap,2049,1661,81.0639336261591,79.30996590526526,82.70164217728518,343,16.739873108833578,15.18594151729097,18.418283292986906,45,2.1961932650073206,1.6453765034718928,2.925919463758021
D4_coadapt_s521,T1_d070_stopcap,2050,1460,71.21951219512195,69.2214191620757,73.13822823249728,353,17.21951219512195,15.646850606624152,18.9147975562424,237,11.560975609756099,10.248125508139918,13.017616682840513
L1_width_s523,ep25000_d070_dwa_arc_w0p45,2049,1914,93.41142020497803,92.25395021602684,94.4064196023999,92,4.489995119570523,3.675304700783235,5.475010245048204,43,2.09858467545144,1.5617243593693433,2.814719736430719
L1_width_s523,ep25000_d070_dwa_arc_w0p6,2049,1918,93.6066373840898,92.46364513044003,94.5864284308464,80,3.904343582235237,3.148265749939604,4.832937967312722,51,2.4890190336749636,1.8981621044105204,3.25768947710895
L1_width_s523,ep25000_d070_dwa_arc_w0p8,2051,1939,94.53924914675767,93.47005580196524,95.44191315589995,62,3.0229156509019988,2.3652488853398697,3.85622665828014,50,2.437835202340322,1.8540394146596832,3.1994628093167776
L1_width_s523,ep25000_d070_dwa_arc_w1p0,2050,1929,94.09756097560975,92.992526257214,95.0376375236917,56,2.731707317073171,2.1096300926354545,3.5306036422123044,65,3.1707317073170733,2.4954870187652167,4.021153213901295
L1_width_s523,ep25000_d070_dwa_arc_w1p2,2049,1948,95.07076622742801,94.04618762529907,95.92666400743516,36,1.7569546120058566,1.2717746471893614,2.422687898606218,65,3.17227916056613,2.496708651406602,4.023106030121833
L1_width_s523,ep25000_d070_stopcap_w0p45,2049,1853,90.43435822352367,89.08413237001031,91.63325536980594,110,5.368472425573451,4.473400073881186,6.430581714818922,86,4.19716935090288,3.411218766826765,5.154540564715117
L1_width_s523,ep25000_d070_stopcap_w0p6,2049,1703,83.11371400683261,81.42997205299302,84.67352532958434,118,5.7589067837969745,4.830531846100252,6.852857428319266,228,11.127379209370424,9.83782711901733,12.562415084044051
L1_width_s523,ep25000_d070_stopcap_w0p8,2049,1468,71.6447047340166,69.6540279271083,73.55437456246142,76,3.709126403123475,2.9736528117057395,4.617847162686884,505,24.646168862859934,22.82878698533362,26.558439410762286
L1_width_s523,ep25000_d070_stopcap_w1p0,2049,1141,55.68570034163006,53.5261444696456,57.823977041143294,79,3.8555392874572965,3.1045586823674207,4.77921909916998,829,40.458760370912636,38.35336561123138,42.59986395650056
L1_width_s523,ep25000_d070_stopcap_w1p2,2049,1008,49.194729136163986,47.03359636683837,51.358875693865336,72,3.513909224011713,2.799639699192254,4.402156532340664,969,47.2913616398243,45.1366807454684,49.45617982235319
L1_width_s523,ep25000_d205_dwa_arc_w0p45,2049,1699,82.91849682772084,81.22771408025253,84.48607955946511,306,14.93411420204978,13.456502144342153,16.54296304448346,44,2.1473889702293802,1.6035094796328566,2.8703605518821314
L1_width_s523,ep25000_d205_dwa_arc_w0p6,2050,1762,85.95121951219512,84.37964318684706,87.38831113453293,227,11.073170731707318,9.786910767023624,12.505046426380414,61,2.975609756097561,2.3234777525648065,3.8036484810711473
L1_width_s523,ep25000_d205_dwa_arc_w0p8,2049,1769,86.33479746217667,84.77941203109523,87.75419710866721,219,10.68814055636896,9.423159651413702,12.100249130213346,61,2.977061981454368,2.324615040435095,3.805495898233636
L1_width_s523,ep25000_d205_dwa_arc_w1p0,2049,1778,86.77403611517813,85.23812967786223,88.17231288333454,206,10.053684724255735,8.825447381626507,11.431424235706505,65,3.17227916056613,2.496708651406602,4.023106030121833
L1_width_s523,ep25000_d205_dwa_arc_w1p2,2049,1787,87.2132747681796,85.69738135062683,88.5898946320043,177,8.638360175695462,7.4980408653122055,9.93347861628795,85,4.148365056124939,3.367311539126046,5.1010218567009105
L1_width_s523,ep25000_d205_stopcap_w0p45,2051,1420,69.23451974646514,67.20273569472923,71.19438718855247,353,17.21111652852267,15.639153434161212,18.905675110814872,278,13.55436372501219,12.14090182957934,15.104093467624566
L1_width_s523,ep25000_d205_stopcap_w0p6,2049,843,41.142020497803806,39.02982489388748,43.28736777385342,245,11.957052220595413,10.622881356614682,13.433601753600447,961,46.90092728160078,44.747957723850696,49.06549535825149
